Name,Citation_Count,Degree_Centrality,Clustering_Coefficient,Eigenvector_Centrality,Efficiency,K_core
Marta D.+Rossell,0.0576082875178,0.584735922567,0.180773037714,-0.0272777610185,-0.16134643524,1.34946280775
Marie+D’Angelo,-0.204053213464,0.804868208121,0.758528741655,0.102504788799,0.609458273245,2.42898347496
Adar+Sonn-Segev,-0.208643766113,-0.405859362424,0.758528741655,-0.04982681262,0.609458273245,-0.539698359857
Małgorzata+Piȩtka,-0.208643766113,-0.625991647977,-1.96517671978,-0.0498453221131,0.609458273245,-1.07945869346
Elizabeth+Dobisz,-0.130604371083,1.46526506478,-0.588988697161,-0.0443920520783,-1.31283428547,1.61934297455
Valery+Dubov,-0.208643766113,-0.625991647977,-1.96517671978,-0.0498173316249,0.609458273245,-1.07945869346
Assumpta+Parreño,0.686514000405,1.02500049367,-0.716811716623,1.47935262543,-1.44305216374,1.34946280775
Akiko+Murakami,-0.213234318762,-0.625991647977,-1.96517671978,-0.0498151931764,0.609458273245,-1.07945869346
Connie+Sutherland,-0.213234318762,-0.5159255052,0.758528741655,-0.0498438311286,0.609458273245,-0.809578526659
Manran+Zhu,-0.204053213464,-0.295793219647,0.758528741655,-0.0497991094151,0.609458273245,-0.269818193056
Katarina+Susman,-0.213234318762,-0.5159255052,0.758528741655,-0.0497121848442,0.609458273245,-0.809578526659
Maxine+Matison,-0.204053213464,-0.405859362424,0.758528741655,-0.027961188841,0.609458273245,-0.539698359857
Valentina+Schettini,-0.213234318762,0.0344052086834,0.758528741655,-0.0496795816721,0.609458273245,0.539822307348
Agnes+Grau,-0.199462660815,-0.18572707687,0.758528741655,-0.0498349969634,0.609458273245,6.19737451752e-05
Hatice+Altug,-0.217824871411,-0.295793219647,0.758528741655,-0.0489761450857,0.609458273245,-0.269818193056
Anna+Trevisan,-0.213234318762,-0.5159255052,0.758528741655,-0.0497673058451,0.609458273245,-0.809578526659
Xuezhen+Wang,-0.217824871411,-0.405859362424,0.758528741655,-0.0220910099163,0.609458273245,-0.539698359857
Peichun Amy+Tsai,-0.204053213464,-0.405859362424,0.758528741655,-0.0497693973667,0.609458273245,-0.539698359857
Fumiko+Yamaguchi,-0.0112500022143,-0.0756609340933,-1.0572748993,-0.0468615422504,-1.43553381049,6.19737451752e-05
Syuzanna+Sargsyan,-0.213234318762,-0.5159255052,0.758528741655,-0.0497981795681,0.609458273245,-0.809578526659
Nikita+Blinov,-0.14437602903,0.14447135146,-0.992424769268,-0.0495466752049,-1.53778341468,0.269942140546
Hiroyoshi+Naito,0.00252165573213,1.02500049367,-1.37504053647,-0.0495732431691,-2.35878758947,6.19737451752e-05
Silvia+Bergamini,-0.213234318762,-0.295793219647,0.758528741655,-0.0497893604817,0.609458273245,-0.269818193056
Noemi+Frusciante,-0.0617460813512,-0.405859362424,0.758528741655,-0.0497980877631,0.609458273245,-0.539698359857
Pauline+Petit,-0.217824871411,-0.405859362424,0.758528741655,-0.049844494982,0.609458273245,-0.539698359857
Nannan+Liu,-0.217824871411,-0.295793219647,0.304577831415,-0.0485715896692,0.180009935661,-0.539698359857
Ashley C.+Stowe,-0.0984705025417,0.0344052086834,0.758528741655,-0.039078341295,0.609458273245,0.539822307348
Natalia+Tsud,-0.194872108167,-0.0756609340933,0.758528741655,-0.0498281293641,0.609458273245,0.269942140546
Michèle+Leduc,-0.18110045022,-0.5159255052,0.758528741655,-0.049839862018,0.609458273245,-0.809578526659
Kuen-Jen+Wang,-0.208643766113,0.364603637014,0.758528741655,-0.0412899213086,0.609458273245,1.34946280775
Maxine+Savitz,-0.217824871411,0.694802065344,0.758528741655,-0.0498430226982,0.609458273245,2.15910330816
Myungshik+Kim,-0.10306105519,-0.0756609340933,-0.875694535207,-0.049243197424,-1.23103460212,0.269942140546
Galit+Eyal,-0.18110045022,-0.5159255052,0.758528741655,-0.0498133007679,0.609458273245,-0.809578526659
Janis+Aldins,0.154009893143,-0.405859362424,0.758528741655,-0.0487395883816,0.609458273245,-0.539698359857
Hélène+de Maleprade,-0.217824871411,-0.5159255052,0.758528741655,-0.0498444689874,0.609458273245,-0.809578526659
Efrat+Gerchkovitz,-0.208643766113,-0.5159255052,0.758528741655,-0.0498439382064,0.609458273245,-0.809578526659
Claire P.+Massen,0.0576082875178,-0.625991647977,-1.96517671978,-0.0498436489417,0.609458273245,-1.07945869346
Adriana+Cordero-Cid,-0.116832713137,-0.18572707687,-0.875694535207,-0.0496394538645,-1.10833507709,6.19737451752e-05
Eleanor+Hodby,-0.0709271866488,-0.405859362424,0.758528741655,-0.0498439717091,0.609458273245,-0.539698359857
Raffaella M.+Vuolo,-0.208643766113,-0.625991647977,-1.96517671978,-0.0498424540129,0.609458273245,-1.07945869346
Monika+Leibscher,-0.199462660815,-0.625991647977,-1.96517671978,-0.0498271082112,0.609458273245,-1.07945869346
Raquel+Queiroz,-0.0984705025417,0.804868208121,-0.259119452728,-0.0379396229669,-0.781136343696,1.88922314135
Federica+Palorini,-0.208643766113,-0.405859362424,0.758528741655,-0.0498414302371,0.609458273245,-0.539698359857
Michele+Bernardin,-0.208643766113,-0.5159255052,0.758528741655,-0.0498387984666,0.609458273245,-0.809578526659
Larisa+Laperashvili,-0.213234318762,-0.18572707687,-0.330953442919,-0.0495183123091,-0.535737293647,-0.269818193056
Stephanie C.+Weber,0.0943327087083,-0.5159255052,0.758528741655,-0.0498452600438,0.609458273245,-0.809578526659
Susan E.+Mahan,-0.126013818435,-0.405859362424,0.758528741655,-0.0498193844834,0.609458273245,-0.539698359857
