Name,Citation_Count,Degree_Centrality,Clustering_Coefficient,Eigenvector_Centrality,Efficiency,K_core
Karena W.+Chapman,0,3.217375809293761e-05,0.5384615384615384,2.8952553676146748e-08,0.8021978021978022,7
J. True+Merrill,8,1.732433128081256e-05,0.7142857142857143,4.283585356589798e-08,0.8928571428571429,5
Lesley+De Cruz,17,7.424713406062525e-06,1.0,3.0522487180036697e-10,1.0,3
Alejandra+Montecinos,4,9.899617874750034e-06,0.5,4.542826387647673e-09,0.85,3
Garima+Mishra,14,1.484942681212505e-05,0.5333333333333333,2.2230181378348094e-08,0.8333333333333334,3
Ensieh+Hakimi,1,2.4749044686875086e-06,0.0,1.6909161179722854e-12,1.0,1
Nikita+Klimovich,0,2.7223949155562594e-05,1.0,1.755666636861778e-06,1.0,11
Naia+Venturi,5,4.949808937375017e-06,1.0,2.182292076406936e-06,1.0,2
Rachel R.+Bennett,10,2.4749044686875086e-06,0.0,3.758051504201631e-08,1.0,1
A. Della+Selva,7,1.484942681212505e-05,0.5333333333333333,3.4996314210397266e-06,0.8333333333333334,6
Petra+Häfliger,35,4.949808937375017e-06,1.0,3.329865377428568e-08,1.0,2
Lucimara Stolz+Roman,0,4.949808937375017e-06,1.0,4.028395750080961e-08,1.0,2
Ekaterina E.+Pavlovskaia,0,9.899617874750034e-06,1.0,1.051755956361985e-08,1.0,4
Irena+Drevenšek-Olenik,5,2.96988536242501e-05,0.7424242424242424,2.5829787658628873e-07,0.8910256410256411,9
Clare P.+Grey,4,1.732433128081256e-05,0.42857142857142855,1.7893884301507004e-07,0.7857142857142857,4
Elisabet+Ribera,5,1.979923574950007e-05,1.0,7.519141504277851e-07,1.0,8
Takako+Hirokawa,6,7.424713406062525e-06,1.0,4.958354265206519e-12,1.0,3
Yoshiho+Masuda,2,4.949808937375017e-06,1.0,1.803587230623571e-09,1.0,2
Edith+Botek,2,1.979923574950007e-05,1.0,1.1327058889047172e-11,1.0,8
